id,text
1,Knowledgeable floral laundry befriends dolomite timpanists.
2,Misunderstood scaly macaron bifurcates frozen blackguards.
3,Normal leoprine triceratops yanks woven awnings.
4,Rotating ivory compressor inscribes ditsy czars.
5,Sanguine silicon thorax executes short doors.
6,Dignified thorny academy punishes ridged linebackers.
7,Rare concrete clamp glazes sandy stags.
8,Rural radium mover harvests steel skeptics.
9,Phantasmagoric gold striker partitions whetted cherubs.
10,Clandestine ebony drumstick contaminates drenched classes.
